cell,seed,pair_p50,pair_p05,pair_mean,late_mu_pl_q05,late_return,z_norm_mean
BASELINE,42,0.09068677574396133,0.0027337470091879368,0.10909958928823471,0.03948507757857436,0.5917762417443029,0.07921651750802994
BASELINE,43,0.09094493091106415,0.0015686710830777884,0.12369035184383392,0.0885345912724733,0.914568833473648,0.08931246399879456
BASELINE,44,0.027221836149692535,0.002058766782283783,0.03450746834278107,0.002928840008971696,0.05971004337590296,0.03720897063612938
MICO_ONLY,42,0.010986534878611565,0.0021739997901022434,0.016871683299541473,0.002303913701289254,0.03792739627100839,0.033393364399671555
MICO_ONLY,43,0.012228159233927727,0.003947163932025433,0.016448747366666794,0.00036630646554837334,0.02049374999999998,0.028085866943001747
MICO_ONLY,44,0.03882613033056259,0.004300903528928757,0.0474410280585289,0.19785532578825948,0.8182846106973451,0.05083697661757469
PL_ONLY,42,0.08240941911935806,0.0018869397463276982,0.0924975574016571,0.19673672199249267,0.7663044746867737,0.07426431775093079
PL_ONLY,43,0.06173795089125633,0.0014802701771259308,0.13327988982200623,0.3924605318903923,0.9170166212083987,0.11752048879861832
PL_ONLY,44,0.023615311831235886,0.0023739992175251245,0.03140396252274513,0.45775164902210236,0.13557278928048924,0.04567524418234825
FULL,42,0.0620683953166008,0.0019297468243166804,0.0693439319729805,0.2670575571060181,0.7773655256730031,0.07248847186565399
FULL,43,0.01687847636640072,0.004199299495667219,0.020500149577856064,0.21689822614192963,0.031091220238095206,0.05782272294163704
FULL,44,0.031719136983156204,0.0023259285371750593,0.04987998306751251,0.3334461046755314,0.8402059683824068,0.12296611815690994
